doc_id,document_name,document_type,owner,status,version,due_date,related_wbs,related_milestone,notes
CD-001,Gateway Program Requirements Document (PRD),Requirements,NASA JSC SE&I,Approved,3.2,2022-06-01,1.2.1,M-009,"Top-level program requirements; 1200+ Level 2 requirements; baselined at PCA (M-009); updated for mass reduction actions per GAO-24-106878; DOORS database"
CD-002,PPE System Requirements Specification (SRS),Requirements,Maxar Technologies,Approved,4.1,2022-09-15,1.3,M-010,"PPE system-level requirements; approved at PPE CDR (M-010); last updated to reflect HLS controllability interface per T-019 analysis"
CD-003,HALO System Requirements Specification (SRS),Requirements,Northrop Grumman,Approved,3.8,2022-11-10,1.4,M-011,"HALO system requirements; baselined at HALO CDR (M-011); one mass-related RID still open per T-009 tiger team"
CD-004,Gateway Interface Requirements Document (IRD),Requirements,NASA JSC SE&I,Approved,2.5,2023-06-30,1.2.2,M-009,"Top-level ICD umbrella document; 15 active interface definitions; maintained by SE&I; updated quarterly"
CD-005,PPE-HALO Interface Control Document (ICD),ICD,NASA JSC / Maxar / Northrop,Approved,5.1,2023-03-15,1.2.2,M-017,"Mechanical electrical thermal and data interfaces between PPE and HALO; jointly owned; updated at T-118 mechanical mate"
CD-006,Gateway-Orion Interface Control Document (ICD),ICD,NASA JSC / Lockheed Martin,Approved,4.0,2023-09-30,1.4.7,M-030,"Orion-to-HALO docking interface; IDS-compatible; jointly owned by Gateway and Orion programs; drives T-056 docking port design"
CD-007,Gateway-HLS Starship Interface Control Document (ICD),ICD,NASA JSC / SpaceX,In Review,2.2,2025-06-30,1.2.2,M-028,"HLS docking and mass interface; revised after GAO-24-106878 R-002 finding; under active revision per T-015"
CD-008,Gateway-I-HAB Interface Control Document (ICD),ICD,NASA JSC / ESA,Approved,3.1,2024-06-30,1.2.2,M-016,"Gateway-to-I-HAB mechanical thermal electrical data interfaces; ESA-NASA joint document; drives T-079 fabrication requirements"
CD-009,Gateway-ESPRIT Interface Control Document (ICD),ICD,NASA JSC / ESA,Approved,2.4,2024-09-30,1.2.2,M-032,"ESPRIT Lunar Link and Lunar View interfaces; includes xenon propellant transfer interface per T-090"
CD-010,Gateway-Canadarm3 Interface Control Document (ICD),ICD,NASA JSC / CSA / MDA,In Review,1.8,2025-06-30,1.2.2,M-034,"Canadarm3 base point locations power data connectors end-effector interfaces on all Gateway modules; drives T-111"
CD-011,Gateway Mass Properties Report (Quarterly),Engineering Report,NASA JSC SE&I,Open - Concern,8.3,2025-03-31,1.2.3,M-009,"Quarterly mass tracking per T-016 T-017 T-018; negative margin identified per GAO-24-106878; March 2025 version shows -120 to +270 kg margin range; tiger team actions tracked under T-009"
CD-012,PPE Critical Design Review Package,Review Package,Maxar Technologies,Approved,1.0,2022-09-15,1.3,M-010,"Complete PPE CDR data package; 847-page master document; all RIDs closed; CDR board certification archived"
CD-013,HALO Critical Design Review Package,Review Package,Northrop Grumman,Approved,1.0,2022-11-10,1.4,M-011,"HALO CDR data package; 12 RIDs opened; 11 closed by CDR+90 days; 1 mass-related RID open and tracked by tiger team (T-009)"
CD-014,I-HAB Preliminary Design Review Package,Review Package,Thales Alenia Space / ESA,Approved,1.0,2022-12-31,1.5,M-012,"I-HAB PDR package; ESA formal review; JAXA ECLSS section submitted separately; habitation volume confirmed sufficient"
